Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,3.1,2.6,3.0,3.5,3.2,2.7,2.7,3.5,3.4,3.8,3.6,3.7
2008,3.1,2.9,3.6,3.5,4.1,4.2,3.7,4.5,4.0,3.9,4.8,5.1
2009,6.1,6.7,6.5,6.8,7.0,7.9,8.1,7.6,7.6,7.6,7.2,8.4
2010,8.3,8.2,7.6,7.0,7.8,7.4,7.9,7.3,6.6,7.2,7.5,7.2
2011,6.8,6.7,7.3,6.5,7.2,6.5,7.4,7.2,8.0,7.4,6.4,6.8
2012,6.7,6.2,6.4,5.4,5.5,6.1,5.9,5.9,4.9,4.9,6.3,6.6
2013,6.4,6.0,5.1,5.3,4.5,4.7,5.3,5.1,5.4,5.4,5.2,4.3
2014,4.7,5.9,5.5,5.9,5.7,4.7,4.2,4.5,4.4,5.1,4.8,4.4
2015,4.0,4.0,3.2,4.4,4.1,3.9,3.9,3.4,3.5,3.5,3.9,4.1
2016,3.6,3.8,3.9,3.8,4.1,3.6,3.8,4.1,3.8,3.4,3.1,2.7
2017,3.6,3.5,3.2,3.3,3.6,3.7,3.7,3.9,3.6,3.0,3.1,2.6
2018,2.9,3.0,3.1,2.9,2.2,3.2,3.0,2.9,3.5,3.1,2.8,3.3
2019,3.0,3.2,3.0,2.3,2.6,2.0,2.8,2.8,2.5,2.9,2.6,2.6
2020,3.0,2.5,4.2,14.5,15.0,13.6,12.0,10.5,8.9,7.5,6.7,6.0
2021,6.7,5.1,6.0,5.8,5.7,5.5,5.3,4.4,4.1,4.1,3.8,3.8
2022,3.6,2.9,2.8,3.1,2.5,2.9,2.7,2.7,2.4,2.9,2.6,2.5
2023,2.9,3.4,2.9,2.9,3.0,3.1,2.3,3.1,2.8,3.1,3.5,3.1
2024,2.9,3.4,2.6,2.9,3.1,4.1,3.7,4.1,4.1,3.9,3.8,3.5
